,c_a,unit,scp,station,linename,division,data,time,desc,entries,exits
213,A002,R051,2/3/03,59 ST,NQR456W,BMT,1/13/18,15:00:00,REGULAR,5255206,6160862
214,A002,R051,2/3/03,59 ST,NQR456W,BMT,1/13/18,19:00:00,REGULAR,5255456,6160956
215,A002,R051,2/3/03,59 ST,NQR456W,BMT,1/13/18,23:00:00,REGULAR,5255620,6160992
216,A002,R051,2/3/03,59 ST,NQR456W,BMT,1/14/18,3:00:00,REGULAR,5255671,6161011
217,A002,R051,2/3/03,59 ST,NQR456W,BMT,1/14/18,7:00:00,REGULAR,5255682,6161023
218,A002,R051,2/3/03,59 ST,NQR456W,BMT,1/14/18,11:00:00,REGULAR,5255716,6161110
219,A002,R051,2/3/03,59 ST,NQR456W,BMT,1/14/18,15:00:00,REGULAR,5255866,6161204
220,A002,R051,2/3/03,59 ST,NQR456W,BMT,1/14/18,19:00:00,REGULAR,5256057,6161291
221,A002,R051,2/3/03,59 ST,NQR456W,BMT,1/14/18,23:00:00,REGULAR,5256176,6161338
222,A002,R051,2/3/03,59 ST,NQR456W,BMT,1/15/18,3:00:00,REGULAR,5256205,6161346
223,A002,R051,2/3/03,59 ST,NQR456W,BMT,1/15/18,7:00:00,REGULAR,5256209,6161425
224,A002,R051,2/3/03,59 ST,NQR456W,BMT,1/15/18,11:00:00,REGULAR,5256282,6161810
225,A002,R051,2/3/03,59 ST,NQR456W,BMT,1/15/18,15:00:00,REGULAR,5256448,6161958
226,A002,R051,2/3/03,59 ST,NQR456W,BMT,1/15/18,19:00:00,REGULAR,5256810,6162078
227,A002,R051,2/3/03,59 ST,NQR456W,BMT,1/15/18,23:00:00,REGULAR,5256955,6162142
228,A002,R051,2/3/03,59 ST,NQR456W,BMT,1/16/18,3:00:00,REGULAR,5256989,6162146
229,A002,R051,2/3/03,59 ST,NQR456W,BMT,1/16/18,7:00:00,REGULAR,5256998,6162276
230,A002,R051,2/3/03,59 ST,NQR456W,BMT,1/16/18,11:00:00,REGULAR,5257188,6162897
231,A002,R051,2/3/03,59 ST,NQR456W,BMT,1/16/18,15:00:00,REGULAR,5257344,6163052
232,A002,R051,2/3/03,59 ST,NQR456W,BMT,1/16/18,19:00:00,REGULAR,5257858,6163233
233,A002,R051,2/3/03,59 ST,NQR456W,BMT,1/16/18,23:00:00,REGULAR,5258060,6163338
234,A002,R051,2/3/03,59 ST,NQR456W,BMT,1/17/18,3:00:00,REGULAR,5258098,6163349
235,A002,R051,2/3/03,59 ST,NQR456W,BMT,1/17/18,7:00:00,REGULAR,5258112,6163455
236,A002,R051,2/3/03,59 ST,NQR456W,BMT,1/17/18,11:00:00,REGULAR,5258322,6164031
237,A002,R051,2/3/03,59 ST,NQR456W,BMT,1/17/18,15:00:00,REGULAR,5258463,6164205
238,A002,R051,2/3/03,59 ST,NQR456W,BMT,1/17/18,19:00:00,REGULAR,5258963,6164369
239,A002,R051,2/3/03,59 ST,NQR456W,BMT,1/17/18,23:00:00,REGULAR,5259206,6164472
240,A002,R051,2/3/03,59 ST,NQR456W,BMT,1/18/18,3:00:00,REGULAR,5259249,6164482
241,A002,R051,2/3/03,59 ST,NQR456W,BMT,1/18/18,7:00:00,REGULAR,5259269,6164617
242,A002,R051,2/3/03,59 ST,NQR456W,BMT,1/18/18,11:00:00,REGULAR,5259466,6165219
243,A002,R051,2/3/03,59 ST,NQR456W,BMT,1/18/18,15:00:00,REGULAR,5259603,6165381
244,A002,R051,2/3/03,59 ST,NQR456W,BMT,1/18/18,19:00:00,REGULAR,5260176,6165546
245,A002,R051,2/3/03,59 ST,NQR456W,BMT,1/18/18,23:00:00,REGULAR,5260422,6165642
246,A002,R051,2/3/03,59 ST,NQR456W,BMT,1/19/18,3:00:00,REGULAR,5260464,6165656
247,A002,R051,2/3/03,59 ST,NQR456W,BMT,1/19/18,7:00:00,REGULAR,5260476,6165789
248,A002,R051,2/3/03,59 ST,NQR456W,BMT,1/19/18,11:00:00,REGULAR,5260646,6166403
249,A002,R051,2/3/03,59 ST,NQR456W,BMT,1/19/18,15:00:00,REGULAR,5260813,6166538
250,A002,R051,2/3/03,59 ST,NQR456W,BMT,1/19/18,19:00:00,REGULAR,5261419,6166702
251,A002,R051,2/3/03,59 ST,NQR456W,BMT,1/19/18,23:00:00,REGULAR,5261632,6166787
